update,total_env_steps,total_episodes,wall_time_s,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,lr,mean_reward,mean_ante,max_ante,mean_ep_len,win_rate,throughput_steps_per_sec
1,1024,23,3.59,-0.114625,-0.013349,0.014236,2.1679,0.001547,0.0117,0.0003,-0.9328,1.0,1,41.9,0.0,333.0
2,2048,38,6.24,-0.115669,-0.012203,0.01136,2.1829,0.005361,0.052,0.0003,-0.9212,1.0,1,49.7,0.0,387.0
3,3072,48,8.87,-0.120896,-0.015851,0.00457,2.1466,0.008021,0.0435,0.0003,-0.9321,1.0,1,56.5,0.0,389.0
4,4096,53,11.66,-0.117803,-0.013248,0.002231,2.1134,0.006214,0.033,0.0003,-0.9341,1.0,1,69.1,0.0,368.0
5,5120,55,14.41,-0.109353,-0.007972,0.000928,2.0369,0.004489,0.0173,0.0003,-0.9358,1.0,1,78.2,0.0,374.0
6,6144,56,17.12,-0.10649,-0.004965,0.000529,2.0358,0.001961,0.0027,0.0003,-0.9363,1.0,1,87.6,0.0,378.0
7,7168,56,19.87,-0.103708,-0.001624,2.7e-05,2.042,0.003756,0.0576,0.0003,-0.9363,1.0,1,87.6,0.0,373.0
8,8192,56,22.61,-0.107591,-0.006026,2.5e-05,2.0316,0.007579,0.1504,0.0003,-0.9363,1.0,1,87.6,0.0,374.0
9,9216,56,25.33,-0.106044,-0.003895,2.4e-05,2.0432,0.012922,0.2644,0.0003,-0.9363,1.0,1,87.6,0.0,376.0
10,10240,56,28.05,-0.10726,-0.004452,1.2e-05,2.0563,0.007839,0.1396,0.0003,-0.9363,1.0,1,87.6,0.0,377.0
11,11264,56,30.77,-0.106205,-0.003146,9e-06,2.0613,0.005635,0.0564,0.0003,-0.9363,1.0,1,87.6,0.0,377.0
12,12288,57,33.49,-0.105466,-0.002447,1.5e-05,2.0605,0.003728,0.032,0.0003,-0.9188,1.0,1,121.1,0.0,378.0
13,13312,59,36.4,-0.104449,-0.00244,1.6e-05,2.0403,0.006113,0.1257,0.0003,-0.8873,1.0,1,184.8,0.0,352.0
14,14336,60,39.23,-0.108513,-0.00638,1.6e-05,2.0428,0.006567,0.1348,0.0003,-0.8723,1.0,1,215.1,0.0,362.0
15,15360,60,42.17,-0.102989,-0.000981,9e-06,2.0403,0.004347,0.0042,0.0003,-0.8723,1.0,1,215.1,0.0,349.0
16,16384,60,44.99,-0.10929,-0.00692,1.8e-05,2.0476,0.007321,0.1318,0.0003,-0.8723,1.0,1,215.1,0.0,364.0
17,17408,60,47.78,-0.108786,-0.006991,5e-06,2.036,0.007457,0.1404,0.0003,-0.8723,1.0,1,215.1,0.0,368.0
18,18432,60,50.6,-0.106485,-0.004964,4e-06,2.0304,0.007415,0.1155,0.0003,-0.8723,1.0,1,215.1,0.0,363.0
19,19456,60,53.46,-0.105788,-0.004322,2e-06,2.0294,0.005236,0.0696,0.0003,-0.8723,1.0,1,215.1,0.0,358.0
20,20480,61,56.35,-0.104582,-0.004138,5e-06,2.0089,0.003702,0.0581,0.0003,-0.857,1.0,1,244.3,0.0,356.0
21,21504,63,59.38,-0.102243,-0.002384,7e-06,1.9972,0.001773,0.0017,0.0003,-0.8298,1.0,1,300.0,0.0,338.0
22,22528,64,62.44,-0.101193,-0.001461,7e-06,1.9947,0.001597,0.0217,0.0003,-0.8168,1.0,1,326.6,0.0,335.0
23,23552,64,65.39,-0.102865,-0.004155,3e-06,1.9742,0.00481,0.1018,0.0003,-0.8168,1.0,1,326.6,0.0,348.0
24,24576,64,68.21,-0.101493,-0.001148,2e-06,2.0069,0.006958,0.1387,0.0003,-0.8168,1.0,1,326.6,0.0,364.0
25,25600,64,71.0,-0.104407,-0.002065,1.2e-05,2.047,0.001861,0.0259,0.0003,-0.8168,1.0,1,326.6,0.0,367.0
26,26624,64,73.8,-0.104419,-0.0042,0.004374,2.0481,0.002613,0.0142,0.0003,-0.8168,1.0,1,326.6,0.0,367.0
27,27648,65,76.61,-0.103828,-0.003548,4.4e-05,2.006,0.002232,0.0029,0.0003,-0.804,1.0,1,352.4,0.0,365.0
28,28672,65,79.41,-0.1041,-0.004209,2e-05,1.998,0.002038,0.0078,0.0003,-0.804,1.0,1,352.4,0.0,367.0
29,29696,69,82.2,-0.102603,-0.006201,0.001012,1.9381,0.002649,0.0051,0.0003,-0.7684,1.0,1,422.0,0.0,367.0
30,30720,70,85.04,-0.102151,-0.004634,0.000479,1.9551,0.001158,0.0027,0.0003,-0.7714,1.0,1,419.5,0.0,362.0
31,31744,70,87.81,-0.104825,-0.003411,1.3e-05,2.0284,0.006798,0.1101,0.0003,-0.7714,1.0,1,419.5,0.0,371.0
32,32768,72,90.64,-0.107651,-0.007405,0.000957,2.0145,0.005251,0.033,0.0003,-0.777,1.0,1,431.3,0.0,362.0
33,33792,72,93.65,-0.102867,-0.004195,1.2e-05,1.9736,0.0034,0.0371,0.0003,-0.777,1.0,1,431.3,0.0,341.0
34,34816,72,96.5,-0.099117,-0.004966,9e-06,1.8831,0.006241,0.1245,0.0003,-0.777,1.0,1,431.3,0.0,360.0
35,35840,72,99.32,-0.097039,-0.002405,4e-06,1.8927,0.007368,0.1216,0.0003,-0.777,1.0,1,431.3,0.0,364.0
