update,total_env_steps,total_episodes,wall_time_s,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,lr,mean_reward,mean_ante,max_ante,mean_ep_len,win_rate,throughput_steps_per_sec
1,1024,23,3.84,-0.106421,-0.007172,0.018378,2.1687,0.000817,0.0,0.0003,-0.5766,1.0,1,41.9,0.0,312.0
2,2048,40,6.82,-0.115612,-0.010669,0.009519,2.194,0.003475,0.043,0.0003,-0.5998,1.0,1,47.5,0.0,345.0
3,3072,54,9.74,-0.113382,-0.008118,0.007344,2.1787,0.002745,0.0271,0.0003,-0.6089,1.0,1,52.6,0.0,351.0
4,4096,63,12.61,-0.106852,-0.004612,0.012589,2.1707,0.001215,0.0076,0.0003,-0.591,1.0,1,61.3,0.0,357.0
5,5120,72,15.55,-0.114607,-0.008979,0.003643,2.149,0.002688,0.0186,0.0003,-0.5994,1.0,1,67.0,0.0,349.0
6,6144,77,18.53,-0.113877,-0.009556,0.002183,2.1083,0.002659,0.0081,0.0003,-0.6054,1.0,1,73.1,0.0,345.0
7,7168,80,21.51,-0.113163,-0.009979,0.001275,2.0764,0.006566,0.0996,0.0003,-0.61,1.0,1,78.6,0.0,344.0
8,8192,80,24.49,-0.109892,-0.006142,0.000182,2.0768,0.006283,0.0876,0.0003,-0.61,1.0,1,78.6,0.0,344.0
9,9216,81,27.39,-0.106275,-0.003284,0.000634,2.0661,0.003924,0.0107,0.0003,-0.6157,1.0,1,84.4,0.0,354.0
10,10240,82,30.24,-0.107095,-0.003964,0.000585,2.0685,0.00357,0.0137,0.0003,-0.6291,1.0,1,97.9,0.0,359.0
11,11264,82,33.19,-0.104586,-0.001833,5e-05,2.0555,0.004788,0.0767,0.0003,-0.6291,1.0,1,97.9,0.0,349.0
12,12288,82,36.12,-0.104802,-0.00268,3.4e-05,2.0428,0.006194,0.1023,0.0003,-0.6291,1.0,1,97.9,0.0,349.0
13,13312,82,39.03,-0.105523,-0.004758,3.4e-05,2.0157,0.00818,0.1255,0.0003,-0.6291,1.0,1,97.9,0.0,352.0
14,14336,83,41.99,-0.104487,-0.004933,0.000205,1.9931,0.004813,0.0889,0.0003,-0.6398,1.0,1,120.8,0.0,348.0
15,15360,84,44.92,-0.101862,-0.001519,0.000106,2.0079,0.005305,0.083,0.0003,-0.6507,1.0,1,143.2,0.0,350.0
16,16384,84,47.92,-0.10442,-0.00361,3.1e-05,2.0165,0.005213,0.083,0.0003,-0.6507,1.0,1,143.2,0.0,341.0
17,17408,85,50.78,-0.103583,-0.004731,0.000297,1.98,0.003494,0.0269,0.0003,-0.6613,1.0,1,165.0,0.0,359.0
