update,total_env_steps,total_episodes,wall_time_s,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,lr,mean_reward,mean_ante,max_ante,mean_ep_len,win_rate,throughput_steps_per_sec
1,1024,23,3.63,-0.114426,-0.013301,0.014541,2.1679,0.001525,0.0115,0.0003,-1.0145,1.0,1,41.9,0.0,332.0
2,2048,38,6.34,-0.115308,-0.011912,0.011557,2.1835,0.005125,0.0505,0.0003,-1.0186,1.0,1,49.7,0.0,378.0
3,3072,48,9.04,-0.120521,-0.015579,0.004959,2.1484,0.007521,0.041,0.0003,-1.0428,1.0,1,56.5,0.0,381.0
4,4096,53,11.75,-0.116576,-0.012566,0.002584,2.106,0.00836,0.083,0.0003,-1.0694,1.0,1,68.5,0.0,378.0
5,5120,55,14.45,-0.108285,-0.007353,0.001136,2.03,0.001648,0.0042,0.0003,-1.0894,1.0,1,77.6,0.0,380.0
6,6144,57,17.17,-0.108645,-0.008375,0.001362,2.019,0.003613,0.0093,0.0003,-1.1272,1.0,1,96.2,0.0,378.0
7,7168,57,19.88,-0.106157,-0.007112,0.000276,1.9837,0.011957,0.2891,0.0003,-1.1272,1.0,1,96.2,0.0,379.0
8,8192,57,22.59,-0.100915,0.000115,0.000201,2.0226,0.008437,0.1672,0.0003,-1.1272,1.0,1,96.2,0.0,378.0
9,9216,57,25.31,-0.106634,-0.006341,0.000148,2.0073,0.006493,0.116,0.0003,-1.1272,1.0,1,96.2,0.0,377.0
10,10240,57,28.05,-0.101482,-0.001835,9.7e-05,1.9939,0.010354,0.2197,0.0003,-1.1272,1.0,1,96.2,0.0,374.0
11,11264,57,30.75,-0.102621,-0.003339,6.5e-05,1.9863,0.004198,0.0369,0.0003,-1.1272,1.0,1,96.2,0.0,380.0
12,12288,57,33.5,-0.100913,-0.003199,4.4e-05,1.9547,0.004622,0.0391,0.0003,-1.1272,1.0,1,96.2,0.0,373.0
13,13312,59,36.25,-0.098447,-0.001221,0.00031,1.9476,0.003451,0.0208,0.0003,-1.2242,1.0,1,160.7,0.0,373.0
14,14336,61,39.01,-0.105074,-0.005055,0.000268,2.0031,0.006137,0.0671,0.0003,-1.3144,1.0,1,221.0,0.0,372.0
15,15360,61,41.76,-0.104966,-0.003136,5.7e-05,2.0372,0.002985,0.0459,0.0003,-1.3144,1.0,1,221.0,0.0,373.0
16,16384,61,44.46,-0.100461,-0.001379,2.3e-05,1.9819,0.003353,0.0181,0.0003,-1.3144,1.0,1,221.0,0.0,380.0
17,17408,61,47.2,-0.103765,-0.00451,2e-05,1.9853,0.004048,0.0491,0.0003,-1.3144,1.0,1,221.0,0.0,373.0
18,18432,61,49.93,-0.102905,-0.002598,1.7e-05,2.0063,0.002306,0.0032,0.0003,-1.3144,1.0,1,221.0,0.0,376.0
19,19456,61,52.68,-0.104446,-0.004428,1.4e-05,2.0005,0.004965,0.072,0.0003,-1.3144,1.0,1,221.0,0.0,374.0
20,20480,61,55.45,-0.103625,-0.003436,1e-05,2.0039,0.003134,0.0469,0.0003,-1.3144,1.0,1,221.0,0.0,370.0
21,21504,63,58.16,-0.105433,-0.00506,0.000332,2.0108,0.002651,0.0125,0.0003,-1.3986,1.0,1,277.5,0.0,378.0
22,22528,65,60.9,-0.107775,-0.007448,0.000856,2.0151,0.003741,0.0271,0.0003,-1.4925,1.0,1,330.3,0.0,374.0
