update,total_env_steps,total_episodes,wall_time_s,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,lr,mean_reward,mean_ante,max_ante,mean_ep_len,win_rate,throughput_steps_per_sec
1,1024,23,3.72,-0.113804,-0.012959,0.0151,2.1679,0.001516,0.0115,0.0003,-0.9645,1.0,1,41.9,0.0,324.0
2,2048,38,6.46,-0.114274,-0.011333,0.01248,2.1836,0.005018,0.0503,0.0003,-0.9596,1.0,1,49.7,0.0,374.0
3,3072,49,9.21,-0.120992,-0.016272,0.005136,2.1458,0.007856,0.0437,0.0003,-0.9796,1.0,1,56.8,0.0,373.0
4,4096,54,12.03,-0.115047,-0.011182,0.002381,2.1011,0.009262,0.061,0.0003,-0.9929,1.0,1,66.6,0.0,364.0
5,5120,55,14.79,-0.107025,-0.00509,0.000551,2.0442,0.002337,0.0061,0.0003,-0.999,1.0,1,71.7,0.0,371.0
6,6144,57,17.66,-0.108858,-0.008154,0.000967,2.0238,0.005206,0.0522,0.0003,-1.0187,1.0,1,90.4,0.0,358.0
7,7168,57,20.44,-0.105964,-0.003759,2e-05,2.0443,0.00974,0.1663,0.0003,-1.0187,1.0,1,90.4,0.0,370.0
8,8192,57,23.14,-0.107329,-0.004411,3.4e-05,2.0587,0.006084,0.1165,0.0003,-1.0187,1.0,1,90.4,0.0,379.0
9,9216,57,26.09,-0.105992,-0.003301,1.8e-05,2.054,0.007059,0.0984,0.0003,-1.0187,1.0,1,90.4,0.0,347.0
10,10240,57,28.98,-0.10765,-0.00595,1.1e-05,2.0341,0.007719,0.1211,0.0003,-1.0187,1.0,1,90.4,0.0,355.0
11,11264,57,31.91,-0.104965,-0.003382,6e-06,2.0317,0.009119,0.1726,0.0003,-1.0187,1.0,1,90.4,0.0,351.0
12,12288,58,34.78,-0.106758,-0.005748,3.7e-05,2.0206,0.005366,0.113,0.0003,-1.0355,1.0,1,123.4,0.0,358.0
13,13312,59,37.68,-0.103538,-0.002291,6.1e-05,2.0256,0.001965,0.0161,0.0003,-1.0507,1.0,1,155.2,0.0,353.0
14,14336,61,40.52,-0.105359,-0.006497,9.6e-05,1.9782,0.005166,0.0703,0.0003,-1.0809,1.0,1,215.7,0.0,361.0
15,15360,61,43.36,-0.101317,-0.003869,1.6e-05,1.9491,0.002888,0.0259,0.0003,-1.0809,1.0,1,215.7,0.0,362.0
16,16384,61,46.26,-0.097104,-0.001723,9e-06,1.9077,0.001561,0.0186,0.0003,-1.0809,1.0,1,215.7,0.0,353.0
17,17408,61,49.06,-0.098361,-0.003281,9e-06,1.9017,0.003342,0.0447,0.0003,-1.0809,1.0,1,215.7,0.0,367.0
18,18432,61,51.92,-0.101255,-0.003855,1.5e-05,1.9481,0.006294,0.0913,0.0003,-1.0809,1.0,1,215.7,0.0,358.0
19,19456,61,54.73,-0.102593,-0.005065,8e-06,1.9506,0.004452,0.0569,0.0003,-1.0809,1.0,1,215.7,0.0,364.0
20,20480,62,57.57,-0.101807,-0.004869,6.6e-05,1.9394,0.007168,0.0886,0.0003,-1.0956,1.0,1,244.4,0.0,361.0
21,21504,63,60.32,-0.104714,-0.004241,2.6e-05,2.0097,0.007699,0.1497,0.0003,-1.1096,1.0,1,272.3,0.0,373.0
22,22528,65,63.1,-0.105148,-0.004782,0.00478,2.0551,0.002793,0.0085,0.0003,-1.1362,1.0,1,325.5,0.0,370.0
