update,total_env_steps,total_episodes,wall_time_s,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,lr,mean_reward,mean_ante,max_ante,mean_ep_len,win_rate,throughput_steps_per_sec
1,2048,44,9.18,-0.094816,-0.00711,0.042144,2.1756,0.001714,0.0212,0.0003,0.0595,1.0,1,43.0,0.0,239.0
2,4096,86,13.73,-0.102285,-0.01003,0.032973,2.1748,0.004258,0.052,0.0003,0.0916,1.0,1,44.7,0.0,450.0
3,6144,100,18.27,-0.099696,-0.008088,0.031616,2.1483,0.004425,0.0515,0.0003,0.1635,1.0,1,49.9,0.0,452.0
4,8192,100,22.88,-0.108726,-0.010051,0.015578,2.1293,0.004015,0.0568,0.0003,0.1907,1.0,1,54.5,0.0,444.0
5,10240,100,27.46,-0.109092,-0.00885,0.010027,2.1051,0.004925,0.0564,0.0003,0.2001,1.0,1,61.5,0.0,447.0
6,12288,100,32.06,-0.109662,-0.007137,0.004823,2.0987,0.004928,0.0638,0.0003,0.1926,1.0,1,67.3,0.0,446.0
7,14336,100,36.67,-0.10974,-0.009475,0.004828,2.0536,0.003689,0.0463,0.0003,0.1883,1.0,1,73.9,0.0,445.0
8,16384,100,41.26,-0.11159,-0.011282,0.004168,2.0478,0.006938,0.1104,0.0003,0.1824,1.0,1,75.8,0.0,446.0
9,18432,100,45.88,-0.110647,-0.010609,0.005031,2.0511,0.004647,0.0345,0.0003,0.1925,1.0,1,68.8,0.0,444.0
10,20480,100,50.46,-0.11243,-0.011737,0.002182,2.0357,0.004808,0.0615,0.0003,0.1935,1.0,1,66.4,0.0,447.0
11,22528,100,55.11,-0.110409,-0.010118,0.002046,2.0263,0.004658,0.0388,0.0003,0.1937,1.0,1,67.3,0.0,441.0
12,24576,100,59.73,-0.112812,-0.013709,0.002674,2.0088,0.007945,0.066,0.0003,0.197,1.0,1,65.6,0.0,443.0
13,26624,100,64.37,-0.109428,-0.013844,0.004441,1.9561,0.017543,0.2107,0.0003,0.2007,1.0,1,61.9,0.0,442.0
14,28672,100,69.04,-0.105009,-0.014711,0.004119,1.8471,0.013639,0.1815,0.0003,0.2173,1.0,1,45.5,0.0,439.0
15,30720,100,73.77,-0.107668,-0.019679,0.003604,1.7958,0.014571,0.184,0.0003,0.2278,1.0,1,35.1,0.0,433.0
16,32768,100,78.5,-0.104925,-0.017181,0.003168,1.7865,0.015163,0.1683,0.0003,0.2318,1.0,1,31.1,0.0,434.0
17,34816,100,83.25,-0.101396,-0.014917,0.002278,1.7524,0.013977,0.1292,0.0003,0.2322,1.0,1,30.7,0.0,431.0
18,36864,100,87.94,-0.099403,-0.012927,0.00183,1.7478,0.009612,0.0933,0.0003,0.2273,1.0,1,35.6,0.0,438.0
19,38912,100,92.61,-0.10007,-0.00822,0.001199,1.849,0.012517,0.1593,0.0003,0.2214,1.0,1,41.5,0.0,439.0
20,40960,100,97.38,-0.090176,-0.006228,0.001288,1.6918,0.012703,0.1248,0.0003,0.2225,1.0,1,40.2,0.0,429.0
21,43008,100,102.22,-0.070007,-0.010128,0.005763,1.2552,0.029203,0.2192,0.0003,0.2455,1.0,1,17.2,0.0,423.0
22,45056,100,107.1,-0.061473,-0.003759,0.002434,1.1786,0.009851,0.0969,0.0003,0.2481,1.0,1,14.7,0.0,420.0
23,47104,100,111.99,-0.0674,-0.001128,0.001641,1.3419,0.005285,0.0745,0.0003,0.2481,1.0,1,15.0,0.0,419.0
24,49152,100,116.88,-0.069298,-0.004269,0.001617,1.3167,0.007155,0.0953,0.0003,0.2457,1.0,1,17.2,0.0,419.0
25,51200,100,121.8,-0.057362,-0.004838,0.002084,1.0713,0.006969,0.0883,0.0003,0.2514,1.0,1,11.9,0.0,416.0
26,53248,100,126.78,-0.058524,-0.003551,0.001614,1.1156,0.006127,0.0713,0.0003,0.2508,1.0,1,12.7,0.0,412.0
27,55296,100,131.73,-0.063506,-0.004601,0.001393,1.192,0.005782,0.1005,0.0003,0.2504,1.0,1,12.7,0.0,415.0
28,57344,100,136.64,-0.067192,-0.004865,0.001225,1.2588,0.004658,0.0569,0.0003,0.2495,1.0,1,14.1,0.0,417.0
29,59392,100,141.62,-0.062261,-0.005143,0.001438,1.1568,0.006632,0.0913,0.0003,0.2505,1.0,1,12.8,0.0,412.0
30,61440,100,146.62,-0.056885,-0.00356,0.001919,1.0857,0.006417,0.0944,0.0003,0.2509,1.0,1,12.8,0.0,410.0
31,63488,100,151.61,-0.055657,-0.010687,0.00138,0.9132,0.009861,0.1135,0.0003,0.2523,1.0,1,11.2,0.0,410.0
32,65536,100,156.58,-0.056028,-0.002367,0.00182,1.0914,0.010355,0.1207,0.0003,0.2513,1.0,1,12.1,0.0,413.0
33,67584,100,161.55,-0.056753,-0.003895,0.002899,1.0861,0.010059,0.1041,0.0003,0.2493,1.0,1,11.8,0.0,412.0
34,69632,100,166.51,-0.057449,-0.002549,0.001494,1.1129,0.006728,0.0948,0.0003,0.2508,1.0,1,12.7,0.0,414.0
35,71680,100,171.4,-0.059242,-0.00211,0.001561,1.1583,0.005468,0.0638,0.0003,0.2507,1.0,1,13.2,0.0,419.0
36,73728,100,176.35,-0.052976,-0.000946,0.002709,1.0677,0.010245,0.127,0.0003,0.2513,1.0,1,12.1,0.0,414.0
37,75776,100,181.17,-0.073198,-0.004136,0.001295,1.3942,0.012434,0.1201,0.0003,0.2488,1.0,1,14.6,0.0,425.0
38,77824,100,185.95,-0.075422,-0.003291,0.002189,1.4645,0.006403,0.0867,0.0003,0.2451,1.0,1,16.6,0.0,428.0
39,79872,100,190.77,-0.07592,-0.012926,0.002247,1.2824,0.016169,0.1678,0.0003,0.2495,1.0,1,14.7,0.0,426.0
40,81920,100,195.62,-0.066363,-0.002764,0.002175,1.2937,0.005481,0.0793,0.0003,0.2496,1.0,1,14.7,0.0,422.0
41,83968,100,200.45,-0.068392,-0.004383,0.001866,1.2988,0.006516,0.0872,0.0003,0.2491,1.0,1,15.0,0.0,424.0
42,86016,100,205.26,-0.07178,-0.004543,0.001653,1.3613,0.004968,0.0647,0.0003,0.2457,1.0,1,15.5,0.0,426.0
43,88064,100,210.07,-0.069687,-0.006109,0.001469,1.2862,0.00561,0.0729,0.0003,0.2503,1.0,1,14.4,0.0,427.0
44,90112,100,214.89,-0.068057,-0.006345,0.00193,1.2536,0.010638,0.1041,0.0003,0.2495,1.0,1,14.8,0.0,425.0
45,92160,100,219.73,-0.066031,-0.003515,0.00169,1.2672,0.003038,0.0342,0.0003,0.25,1.0,1,13.8,0.0,424.0
46,94208,100,224.55,-0.071498,-0.006359,0.001622,1.319,0.010039,0.1139,0.0003,0.2489,1.0,1,14.9,0.0,425.0
47,96256,100,229.35,-0.069278,-0.005211,0.001159,1.2929,0.004539,0.0651,0.0003,0.2488,1.0,1,15.0,0.0,427.0
48,98304,100,234.17,-0.066888,-0.004319,0.001368,1.2651,0.003509,0.0398,0.0003,0.2488,1.0,1,14.8,0.0,425.0
49,100352,100,239.04,-0.062379,-0.001283,0.001036,1.2323,0.004108,0.0618,0.0003,0.2508,1.0,1,12.7,0.0,421.0
50,102400,100,243.91,-0.062772,-0.006063,0.001804,1.1522,0.006436,0.0852,0.0003,0.2512,1.0,1,12.9,0.0,421.0
51,104448,100,248.76,-0.063314,-0.004974,0.001645,1.1833,0.004488,0.0565,0.0003,0.2509,1.0,1,13.2,0.0,423.0
52,106496,100,253.66,-0.058226,0.000118,0.001398,1.1809,0.003926,0.0571,0.0003,0.2518,1.0,1,12.0,0.0,419.0
53,108544,100,258.52,-0.063679,-0.003227,0.001553,1.2246,0.006892,0.088,0.0003,0.2501,1.0,1,13.5,0.0,421.0
